"Moment","Concepts","Agency","Social"
"Watching a great film like Nebraska with my wife and friend made me happy.","romance|entertainment","yes","yes"
"I purchased an AC last month, I thought of buying AC for the past year and just now had money to buy that and that moment made me feel more happy.","shopping","yes","no"
"Chloe, my chihuahua, loves to play with her little green toy alien, so everyday we have a soccer match with it in the living room which lasts about 15 minutes.","animals|entertainment","no","no"
"Beating a hard level in a video game.","entertainment|technology","yes","no"
"My first time making the sticky rice dumpling (Zongzi) was very successful and everyone in my family like it.","family","yes","yes"
"I got payment from a client","career","no","yes"
"My husband sent flowers to my office.","romance","no","yes"
"I finally received a check I was expecting.","career","yes","no"
"I went beach with my family and play some funny game.","vacation|family|entertainment","yes","yes"
"I went out for a jog and got caught in the rain","weather|exercise","yes","no"
"Yesterday, I got to go on a nice long bike ride as the weather was unusually mild.  ","exercise|weather","yes","no"
"I ate really good sushi.","food","yes","no"
"I went and bought some new clothes.","shopping","yes","no"
"I met with my nephews and we played cricket.","entertainment","yes","yes"
"I discovered that my sister is getting married","family","yes","yes"
"I was happy when the eye clinic called to say my replacement eyeglasses were ready.","technology|conversation","yes","yes"
"I ended a business that I had created, and I was involved in for over 20 years.","career","yes","no"
"last month my son maked a beautiful presentation on their school.","education|family","no","yes"
"I received word that there might be a new job available to me in the near future at my current place of employment that would have more benefits for my life.","career","no","no"
"My daughter and I played with toys in the living room.","family|entertainment","yes","yes"
"My dog looked at me and I gave him a hug.","animals","yes","yes"
"My job interview went well.","career","yes","no"
"The coin on a cryptocurrency exchange that I was hoping would drop in price so I could buy it, droppedd a lot in price and I was able to buy a lot of it for cheap.","shopping|technology","yes","no"
"Last Month am Getting Job Interview Offer letter From Top MNC Software Company that time am feel very happy.","career","yes","yes"
"get a new galaxy s8","shopping","no","no"
"My boyfriend came over and gave me a great neck massage.","romance","no","yes"
"I played peek a boo with my baby niece.","entertainment|family","yes","yes"
"The wife and I took our 4 year old to Chili's for dinner.","family|food","yes","yes"
"I got a 98% on a midterm paper for one of my major specific courses.","education","yes","no"
"Can definitely tell I'm losing weight when I look in the mirror.","exercise","yes","no"
"I went for a run before my shower for about 20 minutes.","exercise","yes","no"
"i was really happy when i had a chance to run with my friends","exercise","yes","yes"
"I received an award at work.","career","yes","yes"
"My daughter brought home a straight A progress report.","family|education","no","yes"
"Met up with friends I hadn't seen in a few weeks for drinks at a bar.","food|conversation","yes","yes"
"I won my first match of nan BATTLEGROUNDS, where 50 teams compete against each other.","entertainment","yes","yes"
"Being able to breath again without being dependent on constantly utilizing an asthma inhaler.","exercise","yes","no"
"I spoke with my girlfriend.","conversation","yes","yes"
"it was my marriage party.i invited all of my friends and gave me a party to them","party","yes","yes"
"My kids played well together while we were at a store.","family","no","yes"
"My dog gave me kisses.","animals","no","no"
"My youngest said a new word, crunchy.","family","no","yes"
"My wife made her chicken soup.","food","no","yes"
"my father in law ask me for a decision to go to a function one of our relative","family","no","yes"
"My oldest child, who's transgender, finally got her name change made official.","family","no","yes"
"I was happy when i got to know I will be transferred to my home location.","career|family","no","no"
"I was recently given a large raise and I am now earning much more than I was before.","career","yes","no"
"My puppy tackled me on the floor the minute I walked in the door from work.","career|animals","no","no"
"What made me happy in the last 3 months was I got engaged to be married.","romance","yes","yes"
"My nephew tells his mom how proud and cool I am when I am not around.","family","no","yes"
"Training my puppy this evening.","animals","yes","no"
"Playing with my cat","animals","yes","no"
"I stopped and got an iced coffee.","shopping|food","yes","no"
"Getting home from vacation.","vacation","yes","no"
"I had breakfast with my mom.","family|food","yes","yes"
"Took my girlfriend to lunch.","romance|food","yes","yes"
"I took a trip to Miami to visit a good friend.","vacation","yes","yes"
"I ate a great breakfast that I had made myself.","food","yes","no"
"I went out to eat","food","yes","no"
"My old tablet started to work again after I thought it was unfixable.","career","no","no"
"My salary was increased.","career","yes","no"
"I made a bean and bacon soup that was amazing and it was eaten by my picky toddler.","food","yes","yes"
"I was able to see my parents for the first time in a long time.","family","yes","yes"
"Yesterday i am sex with my ex-girl freind.","romance","yes","yes"
"An event that made me happy in the past 3 months was being able to eat healthier","food","yes","no"
"I began working for Mturk in a more substantial and real way to help my family pay off our student loans","career|family|education","yes","yes"
"i got a huge profit in my business","career","yes","no"
"I got the tax return letter from the tax office.","career","yes","no"
